Office Code,Office Name,Office Name in Bangla,Office Address,Mobile,Email,is Payment office,Payment office Code
259,"Sales and Distribution Division-1, Brahmanbaria","বিক্রয় ও বিতরণ বিভাগ-১, বিউবো, ব্রাহ্মণবাড়িয়া", Brahmanbaria,,,FALSE,147
260,"Sales and Distribution Division, Ashuganj","বিক্রয় ও বিতরণ বিভাগ, বিউবো, আশুগঞ্জ","Ashuganj, B.Baria",,,FALSE,147
261,"Sales and Distribution Division, Sarail","বিক্রয় ও বিতরণ বিভাগ, বিউবো, সরাইল","Sarail, B.Baria",,,FALSE,147
262,"O&M Circle, Noakhali","পরিচালন ও সংরক্ষণ সার্কেল, নোয়াখালী",Noakhali,,,FALSE,148
263,"Distribution Division, Noakhali","বিতরণ বিভাগ, বিউবো, নোয়াখালী",Noakhali,,,FALSE,148
264,"Distribution Division, Feni","বিতরণ বিভাগ, বিউবো, ফেনী",Feni,,,FALSE,148
265,"Sales and Distribution Division, Laxmipur","বিক্রয় ও বিতরণ বিভাগ, বিউবো, লক্ষীপুর",Laxmipur,,,FALSE,148
266,"Sales and Distribution Division, Chaumuhini, Noakhali","বিক্রয় ও বিতরণ বিভাগ, বিউবো, চৌমুহনী, নোয়াখালী","Chowmuhuni, Noakhali",,,FALSE,148
267,"Sales and Distribution Division, Bashurhat, Noakhali.","বিক্রয় ও বিতরণ বিভাগ, বসুরহাট, বিউবো, নোয়াখালী। ","Bashurhat, Noakhali.",,,FALSE,148
268,"Sales and Distribution Division, Hatia"," বিক্রয় ও বিতরণ বিভাগ, বিউবো, হাতিয়া","Hatia, Noakhali",,,FALSE,148
270,"Chief Engineer, Distribution Zone, Sylhet","প্রধান প্রকৌশলীর দপ্তর, বিতরণ অঞ্চল, সিলেট","Biddut Bhaban, Bhagbari, Sylhet",,,FALSE,149
271,"O&M Circle, Sylhet","পরিচালন ও সংরক্ষণ সার্কেল, বিউবো,  সিলেট","Biddut Bhaban, Bhagbari, Sylhet",,,FALSE,149
272,"Sales and Distribution Division-1, Sylhet","বিক্রয় ও বিতরণ বিভাগ-১, বিউবো, সিলেট","Ambarkhana, Sylhet",,,FALSE,149
273,"Sales and Distribution Division-2, Sylhet","বিক্রয় ও বিতরণ বিভাগ-২, বিউবো, সিলেট","Purba Mirabazar, Sylhet",,,FALSE,149
